variable,bivariate_auc
CNT_CHILDREN,0.5203051519723264
AMT_INCOME_TOTAL,0.5198104123783416
AMT_CREDIT,0.5140662981692667
AMT_ANNUITY,0.500321137519922
AMT_GOODS_PRICE,0.5303220878392737
REGION_POPULATION_RELATIVE,0.5333266905357268
DAYS_BIRTH,0.5834007849536206
DAYS_EMPLOYED,0.5196367050359012
DAYS_REGISTRATION,0.5369270723187218
DAYS_ID_PUBLISH,0.5497646670974684
OWN_CAR_AGE,0.5285242781910712
FLAG_MOBIL,0.5
FLAG_EMP_PHONE,0.5327109286072043
FLAG_WORK_PHONE,0.5236584362041327
FLAG_CONT_MOBILE,0.5000180444518592
FLAG_PHONE,0.5178133805109901
FLAG_EMAIL,0.5002066273050054
CNT_FAM_MEMBERS,0.5092132662548712
REGION_RATING_CLIENT,0.5454286335939561
REGION_RATING_CLIENT_W_CITY,0.5464820651361517
HOUR_APPR_PROCESS_START,0.5223706772539067
REG_REGION_NOT_LIVE_REGION,0.5014183715969365
REG_REGION_NOT_WORK_REGION,0.5038247304748396
LIVE_REGION_NOT_WORK_REGION,0.5012696600492061
REG_CITY_NOT_LIVE_CITY,0.5224161096336029
REG_CITY_NOT_WORK_CITY,0.5398500593532152
LIVE_CITY_NOT_WORK_CITY,0.5204664049767403
EXT_SOURCE_1,0.5731330635123324
EXT_SOURCE_2,0.6626249816960071
EXT_SOURCE_3,0.6608290269492127
APARTMENTS_AVG,0.5065829035298084
BASEMENTAREA_AVG,0.5020366926360124
YEARS_BEGINEXPLUATATION_AVG,0.5305055924006976
YEARS_BUILD_AVG,0.5058365652540159
COMMONAREA_AVG,0.5085791113998611
ELEVATORS_AVG,0.5079479911780744
ENTRANCES_AVG,0.5006035979860197
FLOORSMAX_AVG,0.5144580671404616
FLOORSMIN_AVG,0.5010936186527434
LANDAREA_AVG,0.5072402319476166
LIVINGAPARTMENTS_AVG,0.50398020460833
LIVINGAREA_AVG,0.5062251943236096
NONLIVINGAPARTMENTS_AVG,0.5172449312731805
NONLIVINGAREA_AVG,0.5110987172721522
APARTMENTS_MODE,0.5070009460360175
BASEMENTAREA_MODE,0.5022652411731194
YEARS_BEGINEXPLUATATION_MODE,0.5328319073824133
YEARS_BUILD_MODE,0.505106231401528
COMMONAREA_MODE,0.5083921148322635
ELEVATORS_MODE,0.5073372821316657
ENTRANCES_MODE,0.5006861429136558
FLOORSMAX_MODE,0.513849365453111
FLOORSMIN_MODE,0.5004363011247672
LANDAREA_MODE,0.505551429519155
LIVINGAPARTMENTS_MODE,0.5028237770337362
LIVINGAREA_MODE,0.5058773658251077
NONLIVINGAPARTMENTS_MODE,0.5193420370679722
NONLIVINGAREA_MODE,0.5113470889337017
APARTMENTS_MEDI,0.5048188342115257
BASEMENTAREA_MEDI,0.5017569038087333
YEARS_BEGINEXPLUATATION_MEDI,0.5304344418674263
YEARS_BUILD_MEDI,0.5061506098632695
COMMONAREA_MEDI,0.5084704671745248
ELEVATORS_MEDI,0.5076841486949952
ENTRANCES_MEDI,0.5004928338733601
FLOORSMAX_MEDI,0.5145082111875311
FLOORSMIN_MEDI,0.5007184094862924
LANDAREA_MEDI,0.5071852491851321
LIVINGAPARTMENTS_MEDI,0.5027437367674927
LIVINGAREA_MEDI,0.5061100198289323
NONLIVINGAPARTMENTS_MEDI,0.5182884857376231
NONLIVINGAREA_MEDI,0.5106182869176018
TOTALAREA_MODE,0.5058431136730772
OBS_30_CNT_SOCIAL_CIRCLE,0.5168153128754043
DEF_30_CNT_SOCIAL_CIRCLE,0.5200783675880263
OBS_60_CNT_SOCIAL_CIRCLE,0.5162316432822041
DEF_60_CNT_SOCIAL_CIRCLE,0.5150621079796552
DAYS_LAST_PHONE_CHANGE,0.5554932161064683
FLAG_DOCUMENT_2,0.5001436368859523
FLAG_DOCUMENT_3,0.5387623974386535
FLAG_DOCUMENT_4,0.5000505433409148
FLAG_DOCUMENT_5,0.5004329216468593
FLAG_DOCUMENT_6,0.5158871724819459
FLAG_DOCUMENT_7,0.5001010866818296
FLAG_DOCUMENT_8,0.5057730484930758
FLAG_DOCUMENT_9,0.5008427241800809
FLAG_DOCUMENT_10,0.5
FLAG_DOCUMENT_11,0.500108553476735
FLAG_DOCUMENT_12,0.5
FLAG_DOCUMENT_13,0.5013793642182041
FLAG_DOCUMENT_14,0.5006797505821885
FLAG_DOCUMENT_15,0.5004076971656743
FLAG_DOCUMENT_16,0.5024216772417827
FLAG_DOCUMENT_17,0.500176901693202
FLAG_DOCUMENT_18,0.5005030884652937
FLAG_DOCUMENT_19,0.5002034656237402
FLAG_DOCUMENT_20,0.5003597383449212
FLAG_DOCUMENT_21,0.5003171881407986
AMT_REQ_CREDIT_BUREAU_HOUR,0.5196071391416358
AMT_REQ_CREDIT_BUREAU_DAY,0.5209944384175274
AMT_REQ_CREDIT_BUREAU_WEEK,0.5184230949527298
AMT_REQ_CREDIT_BUREAU_MON,0.5075661355840728
AMT_REQ_CREDIT_BUREAU_QRT,0.5071699235613643
AMT_REQ_CREDIT_BUREAU_YEAR,0.518653418532476
